,cost,name,method,type,parallel
0,4.599776029586792,epoch-0,GPU,epoch,40
1,4.600551605224609,epoch-1,GPU,epoch,40
2,2.207045316696167,epoch-2,GPU,epoch,40
3,1.7959175109863281,epoch-3,GPU,epoch,40
4,2.6211960315704346,epoch-4,GPU,epoch,40
5,1.817166805267334,epoch-5,GPU,epoch,40
6,2.613685131072998,epoch-6,GPU,epoch,40
7,1.8310375213623047,epoch-7,GPU,epoch,40
8,4.2058656215667725,epoch-8,GPU,epoch,40
9,1.7120590209960938,epoch-9,GPU,epoch,40
10,28.01458191871643,total,GPU,total,40
11,4.766951322555542,epoch-0,CPU,epoch,40
12,3.7958970069885254,epoch-1,CPU,epoch,40
13,4.735069513320923,epoch-2,CPU,epoch,40
14,3.7990691661834717,epoch-3,CPU,epoch,40
15,4.726180791854858,epoch-4,CPU,epoch,40
16,3.9116666316986084,epoch-5,CPU,epoch,40
17,4.6207544803619385,epoch-6,CPU,epoch,40
18,3.9690372943878174,epoch-7,CPU,epoch,40
19,4.622577428817749,epoch-8,CPU,epoch,40
20,3.825000762939453,epoch-9,CPU,epoch,40
21,42.7761652469635,total,CPU,total,40
22,7.559715509414673,epoch-0,parallel,epoch,40
23,4.226231336593628,epoch-1,parallel,epoch,40
24,4.627155780792236,epoch-2,parallel,epoch,40
25,3.3573503494262695,epoch-3,parallel,epoch,40
26,3.3028857707977295,epoch-4,parallel,epoch,40
27,3.2368476390838623,epoch-5,parallel,epoch,40
28,3.05780029296875,epoch-6,parallel,epoch,40
29,3.230649471282959,epoch-7,parallel,epoch,40
30,3.3028666973114014,epoch-8,parallel,epoch,40
31,3.288970470428467,epoch-9,parallel,epoch,40
32,39.30771064758301,total,parallel,total,40
33,0.014897584915161133,epoch-0,cuda,epoch,40
34,0.0047075748443603516,epoch-1,cuda,epoch,40
35,0.0020685195922851562,epoch-2,cuda,epoch,40
36,0.0020341873168945312,epoch-3,cuda,epoch,40
37,0.0020089149475097656,epoch-4,cuda,epoch,40
38,0.0020041465759277344,epoch-5,cuda,epoch,40
39,0.0019845962524414062,epoch-6,cuda,epoch,40
40,0.0245211124420166,epoch-7,cuda,epoch,40
41,0.02794623374938965,epoch-8,cuda,epoch,40
42,0.027949094772338867,epoch-9,cuda,epoch,40
43,0.11136174201965332,total,cuda,total,40
