,cost,name,method,type,parallel
0,3.182713031768799,epoch-0,GPU,epoch,20
1,2.158998727798462,epoch-1,GPU,epoch,20
2,2.00209379196167,epoch-2,GPU,epoch,20
3,0.8597614765167236,epoch-3,GPU,epoch,20
4,0.9292008876800537,epoch-4,GPU,epoch,20
5,0.9106359481811523,epoch-5,GPU,epoch,20
6,1.4676141738891602,epoch-6,GPU,epoch,20
7,0.8962631225585938,epoch-7,GPU,epoch,20
8,0.8605084419250488,epoch-8,GPU,epoch,20
9,1.4222362041473389,epoch-9,GPU,epoch,20
10,14.69412112236023,total,GPU,total,20
11,2.873800277709961,epoch-0,CPU,epoch,20
12,2.181832790374756,epoch-1,CPU,epoch,20
13,2.3908543586730957,epoch-2,CPU,epoch,20
14,2.1657962799072266,epoch-3,CPU,epoch,20
15,2.37972092628479,epoch-4,CPU,epoch,20
16,2.1777806282043457,epoch-5,CPU,epoch,20
17,2.4521281719207764,epoch-6,CPU,epoch,20
18,2.1581342220306396,epoch-7,CPU,epoch,20
19,2.385793447494507,epoch-8,CPU,epoch,20
20,2.155848979949951,epoch-9,CPU,epoch,20
21,23.325380325317383,total,CPU,total,20
22,5.272571802139282,epoch-0,parallel,epoch,20
23,2.7446138858795166,epoch-1,parallel,epoch,20
24,2.8635470867156982,epoch-2,parallel,epoch,20
25,2.7121474742889404,epoch-3,parallel,epoch,20
26,2.829763889312744,epoch-4,parallel,epoch,20
27,2.687737464904785,epoch-5,parallel,epoch,20
28,2.120245933532715,epoch-6,parallel,epoch,20
29,1.754312515258789,epoch-7,parallel,epoch,20
30,1.7731049060821533,epoch-8,parallel,epoch,20
31,1.4361379146575928,epoch-9,parallel,epoch,20
32,26.289175510406494,total,parallel,total,20
