,cost,name,method,type,parallel
0,5.45419716835022,epoch-0,GPU,epoch,40
1,4.502075910568237,epoch-1,GPU,epoch,40
2,2.7210283279418945,epoch-2,GPU,epoch,40
3,2.6070632934570312,epoch-3,GPU,epoch,40
4,2.1410446166992188,epoch-4,GPU,epoch,40
5,2.151088237762451,epoch-5,GPU,epoch,40
6,2.150698661804199,epoch-6,GPU,epoch,40
7,2.1546242237091064,epoch-7,GPU,epoch,40
8,2.0514628887176514,epoch-8,GPU,epoch,40
9,2.116206645965576,epoch-9,GPU,epoch,40
10,28.051788330078125,total,GPU,total,40
11,4.145587921142578,epoch-0,CPU,epoch,40
12,4.297350645065308,epoch-1,CPU,epoch,40
13,3.940704345703125,epoch-2,CPU,epoch,40
14,3.994718313217163,epoch-3,CPU,epoch,40
15,4.066038131713867,epoch-4,CPU,epoch,40
16,4.0957396030426025,epoch-5,CPU,epoch,40
17,4.634768962860107,epoch-6,CPU,epoch,40
18,4.190287351608276,epoch-7,CPU,epoch,40
19,4.595899820327759,epoch-8,CPU,epoch,40
20,4.213662385940552,epoch-9,CPU,epoch,40
21,42.183955669403076,total,CPU,total,40
22,6.783508777618408,epoch-0,parallel,epoch,40
23,4.293627023696899,epoch-1,parallel,epoch,40
24,4.488240003585815,epoch-2,parallel,epoch,40
25,3.2293295860290527,epoch-3,parallel,epoch,40
26,3.058048963546753,epoch-4,parallel,epoch,40
27,3.0911614894866943,epoch-5,parallel,epoch,40
28,3.1766488552093506,epoch-6,parallel,epoch,40
29,3.0470826625823975,epoch-7,parallel,epoch,40
30,2.994760513305664,epoch-8,parallel,epoch,40
31,3.216325521469116,epoch-9,parallel,epoch,40
32,37.411006689071655,total,parallel,total,40
