,cost,name,method,type,parallel
0,4.469373464584351,epoch-0,GPU,epoch,30
1,3.641765594482422,epoch-1,GPU,epoch,30
2,1.6411256790161133,epoch-2,GPU,epoch,30
3,1.2779200077056885,epoch-3,GPU,epoch,30
4,3.3275134563446045,epoch-4,GPU,epoch,30
5,3.1688642501831055,epoch-5,GPU,epoch,30
6,2.9974849224090576,epoch-6,GPU,epoch,30
7,3.053525447845459,epoch-7,GPU,epoch,30
8,3.262777328491211,epoch-8,GPU,epoch,30
9,3.063182830810547,epoch-9,GPU,epoch,30
10,29.909015417099,total,GPU,total,30
11,4.239354610443115,epoch-0,CPU,epoch,30
12,4.2816314697265625,epoch-1,CPU,epoch,30
13,4.1631996631622314,epoch-2,CPU,epoch,30
14,4.205040216445923,epoch-3,CPU,epoch,30
15,4.149590730667114,epoch-4,CPU,epoch,30
16,4.180505275726318,epoch-5,CPU,epoch,30
17,4.2297141551971436,epoch-6,CPU,epoch,30
18,4.137910604476929,epoch-7,CPU,epoch,30
19,4.143173933029175,epoch-8,CPU,epoch,30
20,4.613016843795776,epoch-9,CPU,epoch,30
21,42.34423327445984,total,CPU,total,30
22,5.974167823791504,epoch-0,parallel,epoch,30
23,3.2759487628936768,epoch-1,parallel,epoch,30
24,3.5808627605438232,epoch-2,parallel,epoch,30
25,3.3535237312316895,epoch-3,parallel,epoch,30
26,2.2693064212799072,epoch-4,parallel,epoch,30
27,2.625431776046753,epoch-5,parallel,epoch,30
28,2.2018356323242188,epoch-6,parallel,epoch,30
29,2.233274221420288,epoch-7,parallel,epoch,30
30,2.418950319290161,epoch-8,parallel,epoch,30
31,2.5575945377349854,epoch-9,parallel,epoch,30
32,30.535529613494873,total,parallel,total,30
