,cost,name,method,type,parallel
0,3.657564401626587,epoch-0,forLoop,epoch,20
1,3.6815454959869385,epoch-1,forLoop,epoch,20
2,3.6644952297210693,epoch-2,forLoop,epoch,20
3,3.6502180099487305,epoch-3,forLoop,epoch,20
4,3.6460790634155273,epoch-4,forLoop,epoch,20
5,3.6600611209869385,epoch-5,forLoop,epoch,20
6,3.640989303588867,epoch-6,forLoop,epoch,20
7,3.6751701831817627,epoch-7,forLoop,epoch,20
8,3.7103078365325928,epoch-8,forLoop,epoch,20
9,3.651981830596924,epoch-9,forLoop,epoch,20
10,36.79335951805115,total,forLoop,total,20
11,3.2360928058624268,epoch-0,parallel,epoch,20
12,2.6345911026000977,epoch-1,parallel,epoch,20
13,2.768267869949341,epoch-2,parallel,epoch,20
14,2.6566548347473145,epoch-3,parallel,epoch,20
15,2.761441946029663,epoch-4,parallel,epoch,20
16,2.8582687377929688,epoch-5,parallel,epoch,20
17,2.656507730484009,epoch-6,parallel,epoch,20
18,2.6722571849823,epoch-7,parallel,epoch,20
19,2.692802667617798,epoch-8,parallel,epoch,20
20,2.708141326904297,epoch-9,parallel,epoch,20
21,27.84805417060852,total,parallel,total,20
