,cost,name,method,type,parallel
0,1.9178969860076904,epoch-0,forLoop,epoch,10
1,1.814499855041504,epoch-1,forLoop,epoch,10
2,1.8305644989013672,epoch-2,forLoop,epoch,10
3,1.9303462505340576,epoch-3,forLoop,epoch,10
4,1.8683648109436035,epoch-4,forLoop,epoch,10
5,1.826500654220581,epoch-5,forLoop,epoch,10
6,1.8720853328704834,epoch-6,forLoop,epoch,10
7,1.8296244144439697,epoch-7,forLoop,epoch,10
8,2.028560161590576,epoch-8,forLoop,epoch,10
9,1.9628701210021973,epoch-9,forLoop,epoch,10
10,18.985167264938354,total,forLoop,total,10
11,2.1548852920532227,epoch-0,parallel,epoch,10
12,1.5189974308013916,epoch-1,parallel,epoch,10
13,1.4684810638427734,epoch-2,parallel,epoch,10
14,1.4325177669525146,epoch-3,parallel,epoch,10
15,1.417992115020752,epoch-4,parallel,epoch,10
16,1.4133291244506836,epoch-5,parallel,epoch,10
17,1.4596188068389893,epoch-6,parallel,epoch,10
18,1.403552532196045,epoch-7,parallel,epoch,10
19,1.4009745121002197,epoch-8,parallel,epoch,10
20,1.4355895519256592,epoch-9,parallel,epoch,10
21,15.23500919342041,total,parallel,total,10
