,cost,name,method,type,parallel
0,5.52673864364624,epoch-0,forLoop,epoch,30
1,5.421680212020874,epoch-1,forLoop,epoch,30
2,5.434141397476196,epoch-2,forLoop,epoch,30
3,5.414140939712524,epoch-3,forLoop,epoch,30
4,5.458792448043823,epoch-4,forLoop,epoch,30
5,5.423434734344482,epoch-5,forLoop,epoch,30
6,5.3577094078063965,epoch-6,forLoop,epoch,30
7,5.386574983596802,epoch-7,forLoop,epoch,30
8,5.421624660491943,epoch-8,forLoop,epoch,30
9,5.33949875831604,epoch-9,forLoop,epoch,30
10,54.479764223098755,total,forLoop,total,30
11,4.658701181411743,epoch-0,parallel,epoch,30
12,4.021639823913574,epoch-1,parallel,epoch,30
13,3.959350109100342,epoch-2,parallel,epoch,30
14,4.102831840515137,epoch-3,parallel,epoch,30
15,3.958376169204712,epoch-4,parallel,epoch,30
16,4.030355215072632,epoch-5,parallel,epoch,30
17,4.045117616653442,epoch-6,parallel,epoch,30
18,4.021721124649048,epoch-7,parallel,epoch,30
19,3.9757747650146484,epoch-8,parallel,epoch,30
20,4.117286920547485,epoch-9,parallel,epoch,30
21,41.244770526885986,total,parallel,total,30
