,cost,name,method,type,parallel
0,4.386699199676514,epoch-0,GPU,epoch,40
1,4.35418438911438,epoch-1,GPU,epoch,40
2,1.9122984409332275,epoch-2,GPU,epoch,40
3,1.7330477237701416,epoch-3,GPU,epoch,40
4,4.048219442367554,epoch-4,GPU,epoch,40
5,1.7873528003692627,epoch-5,GPU,epoch,40
6,1.8300340175628662,epoch-6,GPU,epoch,40
7,1.7358171939849854,epoch-7,GPU,epoch,40
8,4.449912071228027,epoch-8,GPU,epoch,40
9,1.6881070137023926,epoch-9,GPU,epoch,40
10,27.932170391082764,total,GPU,total,40
11,5.297155141830444,epoch-0,CPU,epoch,40
12,3.8503966331481934,epoch-1,CPU,epoch,40
13,4.662390470504761,epoch-2,CPU,epoch,40
14,3.8094730377197266,epoch-3,CPU,epoch,40
15,4.671747922897339,epoch-4,CPU,epoch,40
16,3.8308136463165283,epoch-5,CPU,epoch,40
17,4.680718898773193,epoch-6,CPU,epoch,40
18,3.8509814739227295,epoch-7,CPU,epoch,40
19,4.673651456832886,epoch-8,CPU,epoch,40
20,3.8004345893859863,epoch-9,CPU,epoch,40
21,43.13281750679016,total,CPU,total,40
22,7.024855613708496,epoch-0,parallel,epoch,40
23,4.2610461711883545,epoch-1,parallel,epoch,40
24,4.611483573913574,epoch-2,parallel,epoch,40
25,3.324711322784424,epoch-3,parallel,epoch,40
26,3.2723357677459717,epoch-4,parallel,epoch,40
27,3.2411139011383057,epoch-5,parallel,epoch,40
28,2.750816583633423,epoch-6,parallel,epoch,40
29,3.3832952976226807,epoch-7,parallel,epoch,40
30,3.324780225753784,epoch-8,parallel,epoch,40
31,3.038623571395874,epoch-9,parallel,epoch,40
32,38.33670687675476,total,parallel,total,40
33,0.015043973922729492,epoch-0,cuda,epoch,40
34,0.00464630126953125,epoch-1,cuda,epoch,40
35,0.0020072460174560547,epoch-2,cuda,epoch,40
36,0.002005338668823242,epoch-3,cuda,epoch,40
37,0.001987457275390625,epoch-4,cuda,epoch,40
38,0.001983165740966797,epoch-5,cuda,epoch,40
39,0.0019540786743164062,epoch-6,cuda,epoch,40
40,0.024631977081298828,epoch-7,cuda,epoch,40
41,0.02799248695373535,epoch-8,cuda,epoch,40
42,0.02799534797668457,epoch-9,cuda,epoch,40
43,0.11148262023925781,total,cuda,total,40
