,cost,name,method,type,parallel
0,1.247056484222412,epoch-0,GPU,epoch,10
1,1.0337095260620117,epoch-1,GPU,epoch,10
2,0.9664278030395508,epoch-2,GPU,epoch,10
3,1.0023729801177979,epoch-3,GPU,epoch,10
4,1.1422278881072998,epoch-4,GPU,epoch,10
5,1.0281498432159424,epoch-5,GPU,epoch,10
6,1.0387194156646729,epoch-6,GPU,epoch,10
7,1.0597052574157715,epoch-7,GPU,epoch,10
8,1.0299293994903564,epoch-8,GPU,epoch,10
9,1.0294251441955566,epoch-9,GPU,epoch,10
10,10.582505464553833,total,GPU,total,10
11,1.4058842658996582,epoch-0,CPU,epoch,10
12,1.40610933303833,epoch-1,CPU,epoch,10
13,1.4350061416625977,epoch-2,CPU,epoch,10
14,1.45628023147583,epoch-3,CPU,epoch,10
15,1.4104714393615723,epoch-4,CPU,epoch,10
16,1.4011213779449463,epoch-5,CPU,epoch,10
17,1.4047741889953613,epoch-6,CPU,epoch,10
18,1.430816411972046,epoch-7,CPU,epoch,10
19,1.4468910694122314,epoch-8,CPU,epoch,10
20,1.4326589107513428,epoch-9,CPU,epoch,10
21,14.233538627624512,total,CPU,total,10
22,4.27613639831543,epoch-0,parallel,epoch,10
23,2.2253217697143555,epoch-1,parallel,epoch,10
24,2.4855270385742188,epoch-2,parallel,epoch,10
25,2.244860887527466,epoch-3,parallel,epoch,10
26,2.317246437072754,epoch-4,parallel,epoch,10
27,2.174790143966675,epoch-5,parallel,epoch,10
28,2.4022738933563232,epoch-6,parallel,epoch,10
29,2.3315887451171875,epoch-7,parallel,epoch,10
30,2.1642038822174072,epoch-8,parallel,epoch,10
31,2.212924003601074,epoch-9,parallel,epoch,10
32,24.87998366355896,total,parallel,total,10
33,0.011957883834838867,epoch-0,cuda,epoch,10
34,0.0014696121215820312,epoch-1,cuda,epoch,10
35,0.0008440017700195312,epoch-2,cuda,epoch,10
36,0.0008397102355957031,epoch-3,cuda,epoch,10
37,0.0008063316345214844,epoch-4,cuda,epoch,10
38,0.0007905960083007812,epoch-5,cuda,epoch,10
39,0.0007917881011962891,epoch-6,cuda,epoch,10
40,0.0007760524749755859,epoch-7,cuda,epoch,10
41,0.0007977485656738281,epoch-8,cuda,epoch,10
42,0.0007836818695068359,epoch-9,cuda,epoch,10
43,0.020864009857177734,total,cuda,total,10
