,cost,name,method,type,parallel
0,8.020198345184326,epoch-0,GPU,epoch,60
1,7.602483034133911,epoch-1,GPU,epoch,60
2,2.6394596099853516,epoch-2,GPU,epoch,60
3,2.771876573562622,epoch-3,GPU,epoch,60
4,6.206567049026489,epoch-4,GPU,epoch,60
5,4.049390554428101,epoch-5,GPU,epoch,60
6,7.030314922332764,epoch-6,GPU,epoch,60
7,2.7666921615600586,epoch-7,GPU,epoch,60
8,2.586456537246704,epoch-8,GPU,epoch,60
9,3.2501325607299805,epoch-9,GPU,epoch,60
10,46.930612564086914,total,GPU,total,60
11,7.03769850730896,epoch-0,CPU,epoch,60
12,5.322356224060059,epoch-1,CPU,epoch,60
13,5.869866609573364,epoch-2,CPU,epoch,60
14,5.689816474914551,epoch-3,CPU,epoch,60
15,5.693603277206421,epoch-4,CPU,epoch,60
16,5.599595785140991,epoch-5,CPU,epoch,60
17,5.698652744293213,epoch-6,CPU,epoch,60
18,5.6643900871276855,epoch-7,CPU,epoch,60
19,5.663730144500732,epoch-8,CPU,epoch,60
20,5.6629798412323,epoch-9,CPU,epoch,60
21,57.90638518333435,total,CPU,total,60
22,8.752057075500488,epoch-0,parallel,epoch,60
23,5.438266038894653,epoch-1,parallel,epoch,60
24,4.5133116245269775,epoch-2,parallel,epoch,60
25,4.456110000610352,epoch-3,parallel,epoch,60
26,4.52303409576416,epoch-4,parallel,epoch,60
27,5.0919294357299805,epoch-5,parallel,epoch,60
28,5.0312676429748535,epoch-6,parallel,epoch,60
29,5.080397605895996,epoch-7,parallel,epoch,60
30,4.665957689285278,epoch-8,parallel,epoch,60
31,4.361410617828369,epoch-9,parallel,epoch,60
32,52.13808846473694,total,parallel,total,60
33,0.011211633682250977,epoch-0,cuda,epoch,60
34,0.007049083709716797,epoch-1,cuda,epoch,60
35,0.0031070709228515625,epoch-2,cuda,epoch,60
36,0.003075838088989258,epoch-3,cuda,epoch,60
37,0.010706424713134766,epoch-4,cuda,epoch,60
38,0.04201483726501465,epoch-5,cuda,epoch,60
39,0.04194474220275879,epoch-6,cuda,epoch,60
40,0.04179954528808594,epoch-7,cuda,epoch,60
41,0.041821956634521484,epoch-8,cuda,epoch,60
42,0.03822660446166992,epoch-9,cuda,epoch,60
43,0.24217438697814941,total,cuda,total,60
