,cost,name,method,type,parallel
0,5.947596311569214,epoch-0,forLoop,epoch,40
1,5.908793926239014,epoch-1,forLoop,epoch,40
2,4.092412233352661,epoch-2,forLoop,epoch,40
3,3.8634138107299805,epoch-3,forLoop,epoch,40
4,4.076520681381226,epoch-4,forLoop,epoch,40
5,3.8380537033081055,epoch-5,forLoop,epoch,40
6,4.082963228225708,epoch-6,forLoop,epoch,40
7,3.8468258380889893,epoch-7,forLoop,epoch,40
8,4.078316926956177,epoch-8,forLoop,epoch,40
9,3.823291778564453,epoch-9,forLoop,epoch,40
10,43.56538009643555,total,forLoop,total,40
11,4.431491374969482,epoch-0,parallel,epoch,40
12,2.8948183059692383,epoch-1,parallel,epoch,40
13,3.4263203144073486,epoch-2,parallel,epoch,40
14,3.2182629108428955,epoch-3,parallel,epoch,40
15,3.54701566696167,epoch-4,parallel,epoch,40
16,3.246151924133301,epoch-5,parallel,epoch,40
17,3.555978298187256,epoch-6,parallel,epoch,40
18,3.1132099628448486,epoch-7,parallel,epoch,40
19,3.172431707382202,epoch-8,parallel,epoch,40
20,3.5998451709747314,epoch-9,parallel,epoch,40
21,34.233235120773315,total,parallel,total,40
