,cost,name,method,type,parallel
0,4.465863943099976,epoch-0,forLoop,epoch,30
1,4.483619213104248,epoch-1,forLoop,epoch,30
2,3.205113649368286,epoch-2,forLoop,epoch,30
3,2.9641783237457275,epoch-3,forLoop,epoch,30
4,3.1887319087982178,epoch-4,forLoop,epoch,30
5,2.9482693672180176,epoch-5,forLoop,epoch,30
6,3.198878765106201,epoch-6,forLoop,epoch,30
7,2.956479549407959,epoch-7,forLoop,epoch,30
8,3.196197271347046,epoch-8,forLoop,epoch,30
9,2.943600654602051,epoch-9,forLoop,epoch,30
10,33.55803894996643,total,forLoop,total,30
11,3.609651803970337,epoch-0,parallel,epoch,30
12,2.385927438735962,epoch-1,parallel,epoch,30
13,2.6805419921875,epoch-2,parallel,epoch,30
14,2.4883458614349365,epoch-3,parallel,epoch,30
15,2.5215470790863037,epoch-4,parallel,epoch,30
16,2.6812446117401123,epoch-5,parallel,epoch,30
17,2.644679546356201,epoch-6,parallel,epoch,30
18,2.6519649028778076,epoch-7,parallel,epoch,30
19,2.479806900024414,epoch-8,parallel,epoch,30
20,2.4396719932556152,epoch-9,parallel,epoch,30
21,26.59185218811035,total,parallel,total,30
