,cost,name,method,type,parallel
0,2.1006662845611572,epoch-0,forLoop,epoch,10
1,1.9017677307128906,epoch-1,forLoop,epoch,10
2,1.8701047897338867,epoch-2,forLoop,epoch,10
3,1.9829280376434326,epoch-3,forLoop,epoch,10
4,1.923799753189087,epoch-4,forLoop,epoch,10
5,1.8815484046936035,epoch-5,forLoop,epoch,10
6,1.896745204925537,epoch-6,forLoop,epoch,10
7,2.285717010498047,epoch-7,forLoop,epoch,10
8,2.4318387508392334,epoch-8,forLoop,epoch,10
9,1.8813598155975342,epoch-9,forLoop,epoch,10
10,20.243557453155518,total,forLoop,total,10
11,2.18466854095459,epoch-0,parallel,epoch,10
12,1.466264009475708,epoch-1,parallel,epoch,10
13,1.4785828590393066,epoch-2,parallel,epoch,10
14,1.4784650802612305,epoch-3,parallel,epoch,10
15,1.4656715393066406,epoch-4,parallel,epoch,10
16,1.5545451641082764,epoch-5,parallel,epoch,10
17,1.473693609237671,epoch-6,parallel,epoch,10
18,1.5517055988311768,epoch-7,parallel,epoch,10
19,1.5174589157104492,epoch-8,parallel,epoch,10
20,1.5049078464508057,epoch-9,parallel,epoch,10
21,15.78577709197998,total,parallel,total,10
