,cost,name,method,type,parallel
0,7.486105680465698,epoch-0,forLoop,epoch,40
1,7.472970008850098,epoch-1,forLoop,epoch,40
2,7.318201303482056,epoch-2,forLoop,epoch,40
3,7.382732152938843,epoch-3,forLoop,epoch,40
4,7.485185861587524,epoch-4,forLoop,epoch,40
5,7.434330940246582,epoch-5,forLoop,epoch,40
6,7.374384164810181,epoch-6,forLoop,epoch,40
7,7.351739406585693,epoch-7,forLoop,epoch,40
8,7.464889287948608,epoch-8,forLoop,epoch,40
9,7.430028915405273,epoch-9,forLoop,epoch,40
10,74.50813937187195,total,forLoop,total,40
11,5.858701467514038,epoch-0,parallel,epoch,40
12,5.36936616897583,epoch-1,parallel,epoch,40
13,5.689839601516724,epoch-2,parallel,epoch,40
14,5.698860168457031,epoch-3,parallel,epoch,40
15,5.518006086349487,epoch-4,parallel,epoch,40
16,5.47093653678894,epoch-5,parallel,epoch,40
17,5.390317678451538,epoch-6,parallel,epoch,40
18,5.315818548202515,epoch-7,parallel,epoch,40
19,5.496122598648071,epoch-8,parallel,epoch,40
20,5.532897233963013,epoch-9,parallel,epoch,40
21,55.92543315887451,total,parallel,total,40
