,cost,name,method,type,parallel
0,5.981974840164185,epoch-0,forLoop,epoch,40
1,6.04975152015686,epoch-1,forLoop,epoch,40
2,4.141528606414795,epoch-2,forLoop,epoch,40
3,3.933544635772705,epoch-3,forLoop,epoch,40
4,4.136602878570557,epoch-4,forLoop,epoch,40
5,3.886229991912842,epoch-5,forLoop,epoch,40
6,4.191901206970215,epoch-6,forLoop,epoch,40
7,3.89280104637146,epoch-7,forLoop,epoch,40
8,4.137380361557007,epoch-8,forLoop,epoch,40
9,3.907639503479004,epoch-9,forLoop,epoch,40
10,44.2671377658844,total,forLoop,total,40
11,4.453435897827148,epoch-0,parallel,epoch,40
12,3.1141316890716553,epoch-1,parallel,epoch,40
13,3.335942029953003,epoch-2,parallel,epoch,40
14,3.1346094608306885,epoch-3,parallel,epoch,40
15,3.244863271713257,epoch-4,parallel,epoch,40
16,3.1958367824554443,epoch-5,parallel,epoch,40
17,3.4515886306762695,epoch-6,parallel,epoch,40
18,3.5780065059661865,epoch-7,parallel,epoch,40
19,3.106657028198242,epoch-8,parallel,epoch,40
20,3.93573260307312,epoch-9,parallel,epoch,40
21,34.57963156700134,total,parallel,total,40
