,cost,name,method,type,parallel
0,4.809913396835327,epoch-0,forLoop,epoch,30
1,4.407963275909424,epoch-1,forLoop,epoch,30
2,3.162487506866455,epoch-2,forLoop,epoch,30
3,2.9604434967041016,epoch-3,forLoop,epoch,30
4,3.1444618701934814,epoch-4,forLoop,epoch,30
5,2.9594929218292236,epoch-5,forLoop,epoch,30
6,3.14170503616333,epoch-6,forLoop,epoch,30
7,2.9063994884490967,epoch-7,forLoop,epoch,30
8,3.185595750808716,epoch-8,forLoop,epoch,30
9,2.904484272003174,epoch-9,forLoop,epoch,30
10,33.59047055244446,total,forLoop,total,30
11,3.6542913913726807,epoch-0,parallel,epoch,30
12,2.303802251815796,epoch-1,parallel,epoch,30
13,2.744413375854492,epoch-2,parallel,epoch,30
14,2.6900198459625244,epoch-3,parallel,epoch,30
15,2.582343101501465,epoch-4,parallel,epoch,30
16,2.4974238872528076,epoch-5,parallel,epoch,30
17,2.6327099800109863,epoch-6,parallel,epoch,30
18,2.5339176654815674,epoch-7,parallel,epoch,30
19,2.4773271083831787,epoch-8,parallel,epoch,30
20,2.400158405303955,epoch-9,parallel,epoch,30
21,26.527143478393555,total,parallel,total,30
