,cost,name,method,type,parallel
0,2.2526535987854004,epoch-0,GPU,epoch,20
1,2.4125287532806396,epoch-1,GPU,epoch,20
2,0.8904645442962646,epoch-2,GPU,epoch,20
3,0.8655581474304199,epoch-3,GPU,epoch,20
4,0.887277364730835,epoch-4,GPU,epoch,20
5,0.86910080909729,epoch-5,GPU,epoch,20
6,0.8782558441162109,epoch-6,GPU,epoch,20
7,0.8657746315002441,epoch-7,GPU,epoch,20
8,0.9218864440917969,epoch-8,GPU,epoch,20
9,0.9018325805664062,epoch-9,GPU,epoch,20
10,11.751597166061401,total,GPU,total,20
11,2.618464469909668,epoch-0,CPU,epoch,20
12,2.262899875640869,epoch-1,CPU,epoch,20
13,2.2546143531799316,epoch-2,CPU,epoch,20
14,1.9568119049072266,epoch-3,CPU,epoch,20
15,2.2181897163391113,epoch-4,CPU,epoch,20
16,2.04335355758667,epoch-5,CPU,epoch,20
17,2.207934856414795,epoch-6,CPU,epoch,20
18,1.9803431034088135,epoch-7,CPU,epoch,20
19,2.2379965782165527,epoch-8,CPU,epoch,20
20,1.9861929416656494,epoch-9,CPU,epoch,20
21,21.77456545829773,total,CPU,total,20
22,5.567552328109741,epoch-0,parallel,epoch,20
23,2.969956159591675,epoch-1,parallel,epoch,20
24,2.820652723312378,epoch-2,parallel,epoch,20
25,3.0551939010620117,epoch-3,parallel,epoch,20
26,2.8490331172943115,epoch-4,parallel,epoch,20
27,2.820530891418457,epoch-5,parallel,epoch,20
28,2.146678924560547,epoch-6,parallel,epoch,20
29,1.5750069618225098,epoch-7,parallel,epoch,20
30,1.7161586284637451,epoch-8,parallel,epoch,20
31,1.7604589462280273,epoch-9,parallel,epoch,20
32,27.390889167785645,total,parallel,total,20
33,0.012808084487915039,epoch-0,cuda,epoch,20
34,0.001973390579223633,epoch-1,cuda,epoch,20
35,0.0008947849273681641,epoch-2,cuda,epoch,20
36,0.0009095668792724609,epoch-3,cuda,epoch,20
37,0.0009093284606933594,epoch-4,cuda,epoch,20
38,0.0008704662322998047,epoch-5,cuda,epoch,20
39,0.0008785724639892578,epoch-6,cuda,epoch,20
40,0.0008676052093505859,epoch-7,cuda,epoch,20
41,0.0008599758148193359,epoch-8,cuda,epoch,20
42,0.001171112060546875,epoch-9,cuda,epoch,20
43,0.022993087768554688,total,cuda,total,20
